,Open,Max,Min,Close,Volume
2020-08-10 10:12:00,86.18,86.3,86.04,86.14,115700.0
2020-08-10 10:12:30,86.15,86.17,85.8,85.82,35600.0
2020-08-10 10:13:00,85.93,86.11,85.7,86.01,43000.0
2020-08-10 10:13:30,86.0,86.13,85.89,85.9,37400.0
2020-08-10 10:14:00,85.89,85.99,85.8,85.93,7800.0
2020-08-10 10:14:30,85.9,86.04,85.81,86.0,27300.0
2020-08-10 10:15:00,86.01,86.2,85.99,85.99,37700.0
2020-08-10 10:15:30,85.98,85.99,85.07,85.08,113800.0
2020-08-10 10:16:00,85.1,85.5,85.0,85.11,88500.0
2020-08-10 10:16:30,85.2,85.27,84.63,84.87,55800.0
2020-08-10 10:17:00,84.93,85.17,84.6,84.6,42800.0
2020-08-10 10:17:30,84.74,85.04,84.62,84.85,29400.0
2020-08-10 10:18:00,84.86,84.9,83.88,83.88,148400.0
2020-08-10 10:18:30,83.89,84.6,83.76,84.39,87000.0
2020-08-10 10:19:00,84.35,84.39,84.03,84.21,25500.0
2020-08-10 10:19:30,84.26,84.38,83.74,83.9,117900.0
2020-08-10 10:20:00,83.98,84.2,83.9,84.19,22400.0
2020-08-10 10:20:30,84.2,84.34,84.1,84.15,111100.0
2020-08-10 10:21:00,84.19,84.52,84.1,84.52,45100.0
2020-08-10 10:21:30,84.45,84.67,84.3,84.42,30800.0
2020-08-10 10:22:00,84.36,84.42,84.25,84.36,45800.0
2020-08-10 10:22:30,84.38,84.4,84.3,84.31,33100.0
2020-08-10 10:23:00,84.33,84.44,84.31,84.32,19400.0
2020-08-10 10:23:30,84.33,84.37,84.31,84.35,11600.0
2020-08-10 10:24:00,84.35,84.36,84.31,84.32,11500.0
2020-08-10 10:24:30,84.35,84.4,84.32,84.33,6500.0
2020-08-10 10:25:00,84.37,84.58,84.33,84.58,43000.0
2020-08-10 10:25:30,84.58,84.74,84.58,84.69,54600.0
2020-08-10 10:26:00,84.68,84.82,84.59,84.69,42600.0
2020-08-10 10:26:30,84.72,84.72,84.4,84.55,41900.0
2020-08-10 10:27:00,84.55,84.57,84.25,84.25,73300.0
2020-08-10 10:27:30,84.28,84.31,84.15,84.17,85800.0
2020-08-10 10:28:00,84.22,84.25,83.85,83.89,88300.0
2020-08-10 10:28:30,83.88,84.07,83.85,83.85,48700.0
2020-08-10 10:29:00,83.9,84.19,83.85,84.08,27300.0
2020-08-10 10:29:30,84.07,84.22,84.0,84.13,25800.0
2020-08-10 10:30:00,84.12,84.17,84.01,84.11,16500.0
2020-08-10 10:30:30,84.17,84.23,84.05,84.05,13800.0
2020-08-10 10:31:00,84.09,84.26,84.05,84.12,13300.0
2020-08-10 10:31:30,84.18,84.34,84.12,84.3,17000.0
2020-08-10 10:32:00,84.33,84.42,84.3,84.38,21900.0
2020-08-10 10:32:30,84.4,84.4,84.22,84.29,14000.0
2020-08-10 10:33:00,84.32,84.32,84.17,84.26,34200.0
2020-08-10 10:33:30,84.22,84.22,84.05,84.15,25000.0
2020-08-10 10:34:00,84.1,84.15,84.01,84.05,26600.0
2020-08-10 10:34:30,84.06,84.13,84.05,84.06,28000.0
2020-08-10 10:35:00,84.05,84.11,83.93,84.0,56200.0
2020-08-10 10:35:30,84.02,84.04,84.0,84.02,8400.0
2020-08-10 10:36:00,84.04,84.06,83.98,84.03,48800.0
2020-08-10 10:36:30,84.03,84.11,83.92,84.06,29600.0
2020-08-10 10:37:00,84.11,84.13,84.06,84.13,14700.0
2020-08-10 10:37:30,84.14,84.21,84.12,84.2,20800.0
2020-08-10 10:38:00,84.19,84.3,84.18,84.2,21200.0
2020-08-10 10:38:30,84.23,84.24,84.11,84.23,16400.0
2020-08-10 10:39:00,84.24,84.39,84.23,84.39,18500.0
2020-08-10 10:39:30,84.35,84.35,84.2,84.29,9700.0
2020-08-10 10:40:00,84.3,84.33,84.21,84.23,14700.0
2020-08-10 10:40:30,84.25,84.28,84.25,84.25,4400.0
2020-08-10 10:41:00,84.26,84.33,84.23,84.33,17600.0
2020-08-10 10:41:30,84.34,84.34,84.29,84.33,8200.0
2020-08-10 10:42:00,84.34,84.4,84.32,84.39,13600.0
2020-08-10 10:42:30,84.39,84.4,84.36,84.38,5000.0
2020-08-10 10:43:00,84.37,84.5,84.32,84.44,29300.0
2020-08-10 10:43:30,84.42,84.46,84.41,84.45,6900.0
2020-08-10 10:44:00,84.44,84.45,84.37,84.42,7000.0
2020-08-10 10:44:30,84.46,84.52,84.42,84.51,21500.0
2020-08-10 10:45:00,84.53,84.64,84.46,84.51,26500.0
2020-08-10 10:45:30,84.5,84.56,84.47,84.56,8600.0
2020-08-10 10:46:00,84.57,84.57,84.48,84.52,7700.0
2020-08-10 10:46:30,84.49,84.52,84.4,84.47,10200.0
2020-08-10 10:47:00,84.46,84.49,84.45,84.47,3000.0
2020-08-10 10:47:30,84.49,84.49,84.45,84.49,3200.0
2020-08-10 10:48:00,84.5,84.6,84.49,84.53,7500.0
2020-08-10 10:48:30,84.58,84.66,84.55,84.66,7800.0
2020-08-10 10:49:00,84.65,84.73,84.54,84.69,19600.0
2020-08-10 10:49:30,84.63,84.72,84.58,84.6,5700.0
2020-08-10 10:50:00,84.58,84.62,84.5,84.53,9300.0
2020-08-10 10:50:30,84.54,84.56,84.41,84.5,8900.0
2020-08-10 10:51:00,84.47,84.5,84.37,84.37,9800.0
2020-08-10 10:51:30,84.4,84.4,84.15,84.31,46500.0
2020-08-10 10:52:00,84.32,84.35,84.27,84.32,24100.0
2020-08-10 10:52:30,84.3,84.34,84.2,84.22,36600.0
2020-08-10 10:53:00,84.2,84.22,84.1,84.22,16900.0
2020-08-10 10:53:30,84.22,84.24,84.2,84.24,14200.0
2020-08-10 10:54:00,84.23,84.26,84.15,84.18,12200.0
2020-08-10 10:54:30,84.21,84.26,84.2,84.21,8200.0
2020-08-10 10:55:00,84.2,84.28,84.15,84.26,7900.0
2020-08-10 10:55:30,84.28,84.32,84.2,84.2,27900.0
2020-08-10 10:56:00,84.18,84.21,84.15,84.2,13600.0
2020-08-10 10:56:30,84.21,84.24,84.19,84.22,8600.0
2020-08-10 10:57:00,84.21,84.22,84.05,84.05,25200.0
2020-08-10 10:57:30,84.08,84.08,83.93,83.95,36400.0
2020-08-10 10:58:00,83.96,83.98,83.95,83.96,14100.0
2020-08-10 10:58:30,83.95,83.95,83.8,83.8,81300.0
2020-08-10 10:59:00,83.79,83.89,83.61,83.85,72100.0
2020-08-10 10:59:30,83.85,83.9,83.83,83.89,28700.0
2020-08-10 11:00:00,83.88,83.95,83.83,83.95,88800.0
2020-08-10 11:00:30,83.93,83.95,83.88,83.9,10800.0
2020-08-10 11:01:00,83.88,83.9,83.73,83.77,21500.0
2020-08-10 11:01:30,83.76,83.77,83.74,83.74,16300.0
2020-08-10 11:02:00,83.75,83.75,83.64,83.75,34500.0
2020-08-10 11:02:30,83.74,83.79,83.71,83.77,36000.0
2020-08-10 11:03:00,83.77,83.79,83.76,83.79,17900.0
2020-08-10 11:03:30,83.78,83.8,83.77,83.77,16100.0
2020-08-10 11:04:00,83.78,83.78,83.66,83.69,21900.0
2020-08-10 11:04:30,83.71,83.71,83.31,83.37,96900.0
2020-08-10 11:05:00,83.37,83.47,83.37,83.42,32800.0
2020-08-10 11:05:30,83.42,83.5,83.41,83.5,39600.0
2020-08-10 11:06:00,83.49,83.52,83.44,83.5,35300.0
2020-08-10 11:06:30,83.51,83.52,83.5,83.51,17000.0
2020-08-10 11:07:00,83.51,83.52,83.47,83.52,16500.0
2020-08-10 11:07:30,83.51,83.56,83.5,83.55,28700.0
2020-08-10 11:08:00,83.56,83.58,83.55,83.56,54300.0
2020-08-10 11:08:30,83.57,83.59,83.56,83.58,12800.0
2020-08-10 11:09:00,83.59,83.59,83.47,83.47,43300.0
2020-08-10 11:09:30,83.46,83.48,83.41,83.41,10400.0
2020-08-10 11:10:00,83.45,83.46,83.39,83.46,20800.0
2020-08-10 11:10:30,83.45,83.48,83.44,83.46,12100.0
2020-08-10 11:11:00,83.47,83.48,83.42,83.43,15100.0
2020-08-10 11:11:30,83.43,83.5,83.43,83.48,33700.0
2020-08-10 11:12:00,83.49,83.5,83.46,83.48,7500.0
2020-08-10 11:12:30,83.46,83.48,83.41,83.42,10200.0
2020-08-10 11:13:00,83.4,83.42,83.2,83.2,46800.0
2020-08-10 11:13:30,83.19,83.39,83.11,83.3,57400.0
2020-08-10 11:14:00,83.28,83.32,83.27,83.3,18400.0
2020-08-10 11:14:30,83.3,83.33,83.26,83.31,55700.0
2020-08-10 11:15:00,83.32,83.36,83.31,83.36,22900.0
2020-08-10 11:15:30,83.36,83.45,83.32,83.44,22000.0
2020-08-10 11:16:00,83.42,83.44,83.34,83.36,22700.0
2020-08-10 11:16:30,83.34,83.44,83.33,83.43,25200.0
2020-08-10 11:17:00,83.44,83.44,83.43,83.44,2700.0
2020-08-10 11:17:30,83.42,83.44,83.4,83.41,12200.0
2020-08-10 11:18:00,83.4,83.45,83.4,83.45,42300.0
2020-08-10 11:18:30,83.46,83.49,83.46,83.47,23600.0
2020-08-10 11:19:00,83.48,83.5,83.46,83.5,11000.0
2020-08-10 11:19:30,83.48,83.5,83.46,83.47,11600.0
2020-08-10 11:20:00,83.45,83.47,83.37,83.38,9900.0
2020-08-10 11:20:30,83.39,83.43,83.31,83.36,24400.0
2020-08-10 11:21:00,83.35,83.39,83.35,83.39,4100.0
2020-08-10 11:21:30,83.4,83.4,83.3,83.35,27700.0
2020-08-10 11:22:00,83.33,83.35,83.3,83.3,6500.0
2020-08-10 11:22:30,83.31,83.32,83.22,83.24,14100.0
2020-08-10 11:23:00,83.25,83.25,83.21,83.24,9400.0
2020-08-10 11:23:30,83.23,83.24,83.18,83.24,20700.0
2020-08-10 11:24:00,83.25,83.29,83.24,83.28,7000.0
2020-08-10 11:24:30,83.27,83.28,83.22,83.22,7800.0
2020-08-10 11:25:00,83.24,83.26,83.22,83.26,6000.0
2020-08-10 11:25:30,83.25,83.26,83.23,83.24,11000.0
2020-08-10 11:26:00,83.24,83.26,83.24,83.26,4900.0
2020-08-10 11:26:30,83.25,83.37,83.25,83.37,17200.0
2020-08-10 11:27:00,83.35,83.37,83.34,83.34,3400.0
2020-08-10 11:27:30,83.33,83.35,83.33,83.34,6700.0
2020-08-10 11:28:00,83.33,83.34,83.19,83.22,25700.0
2020-08-10 11:28:30,83.23,83.23,83.17,83.22,9000.0
2020-08-10 11:29:00,83.21,83.25,83.21,83.21,1800.0
2020-08-10 11:29:30,83.24,83.24,83.2,83.22,5700.0
2020-08-10 11:30:00,83.22,83.23,83.15,83.15,11400.0
2020-08-10 11:30:30,83.16,83.16,83.14,83.14,4500.0
2020-08-10 11:31:00,83.15,83.21,83.12,83.17,24800.0
2020-08-10 11:31:30,83.16,83.23,83.02,83.07,39700.0
2020-08-10 11:32:00,83.02,83.07,83.0,83.0,45000.0
2020-08-10 11:32:30,83.02,83.07,83.0,83.05,10500.0
2020-08-10 11:33:00,83.03,83.17,83.03,83.17,16400.0
2020-08-10 11:33:30,83.16,83.27,83.14,83.25,16100.0
2020-08-10 11:34:00,83.24,83.25,83.18,83.21,4700.0
2020-08-10 11:34:30,83.2,83.24,83.19,83.19,3900.0
2020-08-10 11:35:00,83.2,83.26,83.19,83.26,23400.0
2020-08-10 11:35:30,83.29,83.41,83.29,83.37,27200.0
2020-08-10 11:36:00,83.37,83.4,83.3,83.35,12500.0
2020-08-10 11:36:30,83.32,83.36,83.3,83.3,6200.0
2020-08-10 11:37:00,83.29,83.32,83.23,83.28,6600.0
2020-08-10 11:37:30,83.29,83.29,83.12,83.25,31300.0
2020-08-10 11:38:00,83.22,83.25,83.12,83.16,14100.0
2020-08-10 11:38:30,83.14,83.16,83.05,83.12,36100.0
2020-08-10 11:39:00,83.08,83.08,83.01,83.06,15400.0
2020-08-10 11:39:30,83.05,83.06,83.0,83.0,37200.0
2020-08-10 11:40:00,83.01,83.02,82.9,82.97,73600.0
2020-08-10 11:40:30,82.95,82.97,82.8,82.8,39600.0
2020-08-10 11:41:00,82.81,82.94,82.77,82.93,29700.0
2020-08-10 11:41:30,82.94,82.98,82.91,82.98,14700.0
2020-08-10 11:42:00,82.91,82.99,82.91,82.99,3900.0
2020-08-10 11:42:30,82.97,82.99,82.95,82.95,2800.0
2020-08-10 11:43:00,82.97,82.98,82.89,82.91,15300.0
2020-08-10 11:43:30,82.95,82.98,82.92,82.92,5100.0
2020-08-10 11:44:00,82.96,83.01,82.88,82.89,35600.0
2020-08-10 11:44:30,82.89,83.0,82.85,82.85,24800.0
2020-08-10 11:45:00,82.87,82.88,82.6,82.6,66000.0
2020-08-10 11:45:30,82.61,82.61,82.13,82.15,219300.0
2020-08-10 11:46:00,82.21,82.5,82.15,82.5,53300.0
2020-08-10 11:46:30,82.49,82.5,82.39,82.43,20700.0
2020-08-10 11:47:00,82.42,82.43,82.25,82.28,15600.0
2020-08-10 11:47:30,82.3,82.32,82.25,82.26,35600.0
2020-08-10 11:48:00,82.26,82.26,82.15,82.21,50700.0
2020-08-10 11:48:30,82.18,82.21,82.13,82.15,19200.0
2020-08-10 11:49:00,82.16,82.2,82.15,82.18,37600.0
2020-08-10 11:49:30,82.19,82.19,81.72,81.81,191900.0
2020-08-10 11:50:00,81.81,82.04,81.71,81.99,55100.0
2020-08-10 11:50:30,82.04,82.11,81.98,82.07,22800.0
2020-08-10 11:51:00,82.08,82.2,82.07,82.15,21700.0
