,Open,Max,Min,Close,Volume
2020-08-10 10:10:00,86.18,86.3,85.7,86.0,266800.0
2020-08-10 10:15:00,86.01,86.2,83.74,83.9,746800.0
2020-08-10 10:20:00,83.98,84.67,83.9,84.33,337300.0
2020-08-10 10:25:00,84.37,84.82,83.85,84.13,531300.0
2020-08-10 10:30:00,84.12,84.42,84.01,84.06,210300.0
2020-08-10 10:35:00,84.05,84.39,83.92,84.29,244300.0
2020-08-10 10:40:00,84.3,84.52,84.21,84.51,128200.0
2020-08-10 10:45:00,84.53,84.73,84.4,84.6,99800.0
2020-08-10 10:50:00,84.58,84.62,84.1,84.21,186700.0
2020-08-10 10:55:00,84.2,84.32,83.61,83.89,315800.0
2020-08-10 11:00:00,83.88,83.95,83.31,83.37,360700.0
2020-08-10 11:05:00,83.37,83.59,83.37,83.41,290700.0
2020-08-10 11:10:00,83.45,83.5,83.11,83.31,277700.0
2020-08-10 11:15:00,83.32,83.5,83.31,83.47,196200.0
2020-08-10 11:20:00,83.45,83.47,83.18,83.22,131600.0
2020-08-10 11:25:00,83.24,83.37,83.17,83.22,91400.0
2020-08-10 11:30:00,83.22,83.27,83.0,83.19,177000.0
2020-08-10 11:35:00,83.2,83.41,83.0,83.0,210000.0
2020-08-10 11:40:00,83.01,83.02,82.77,82.85,245100.0
2020-08-10 11:45:00,82.87,82.88,81.72,81.81,709900.0
2020-08-10 11:50:00,81.81,82.44,81.71,82.37,299900.0
2020-08-10 11:55:00,82.35,82.6,82.2,82.29,240800.0
2020-08-10 12:00:00,82.32,82.54,82.04,82.49,164400.0
2020-08-10 12:05:00,82.48,82.69,82.4,82.6,148300.0
2020-08-10 12:10:00,82.62,82.74,82.41,82.5,131100.0
2020-08-10 12:15:00,82.51,82.65,82.4,82.41,98900.0
2020-08-10 12:20:00,82.42,82.52,82.23,82.32,149400.0
2020-08-10 12:25:00,82.3,82.4,82.12,82.34,90200.0
2020-08-10 12:30:00,82.33,82.39,82.15,82.16,102400.0
2020-08-10 12:35:00,82.17,82.19,81.92,81.97,168000.0
2020-08-10 12:40:00,81.96,82.09,81.8,81.89,184300.0
2020-08-10 12:45:00,81.86,81.89,81.12,81.25,371800.0
2020-08-10 12:50:00,81.24,81.77,81.16,81.64,249400.0
2020-08-10 12:55:00,81.6,81.66,81.32,81.37,162700.0
2020-08-10 13:00:00,81.36,81.63,81.33,81.58,156500.0
2020-08-10 13:05:00,81.62,81.73,81.55,81.69,137700.0
2020-08-10 13:10:00,81.68,81.69,81.41,81.41,142500.0
2020-08-10 13:15:00,81.4,81.51,81.4,81.42,85000.0
2020-08-10 13:20:00,81.43,81.6,81.42,81.46,99800.0
2020-08-10 13:25:00,81.47,81.72,81.46,81.64,83500.0
2020-08-10 13:30:00,81.65,81.74,81.55,81.58,83500.0
2020-08-10 13:35:00,81.59,81.7,81.47,81.5,87600.0
2020-08-10 13:40:00,81.52,81.86,81.48,81.73,82900.0
2020-08-10 13:45:00,81.72,81.79,81.69,81.7,103800.0
2020-08-10 13:50:00,81.7,81.79,81.65,81.79,62900.0
2020-08-10 13:55:00,81.8,82.18,81.79,81.99,179600.0
2020-08-10 14:00:00,82.0,82.3,81.95,82.3,119000.0
2020-08-10 14:05:00,82.31,82.35,82.0,82.26,159600.0
2020-08-10 14:10:00,82.25,82.29,81.84,81.88,201200.0
2020-08-10 14:15:00,81.87,81.96,81.72,81.88,83000.0
2020-08-10 14:20:00,81.86,82.1,81.83,81.95,95000.0
2020-08-10 14:25:00,81.95,81.96,81.64,81.77,97900.0
2020-08-10 14:30:00,81.78,81.82,81.7,81.75,63300.0
2020-08-10 14:35:00,81.74,81.88,81.69,81.84,69900.0
2020-08-10 14:40:00,81.85,81.98,81.79,81.97,63200.0
2020-08-10 14:45:00,81.98,82.29,81.97,82.26,156000.0
2020-08-10 14:50:00,82.27,82.74,82.25,82.71,265400.0
2020-08-10 14:55:00,82.71,82.89,82.52,82.68,245700.0
2020-08-10 15:00:00,82.67,82.81,82.61,82.68,146900.0
2020-08-10 15:05:00,82.69,83.08,82.68,83.07,211700.0
2020-08-10 15:10:00,83.06,83.14,82.71,82.77,153700.0
2020-08-10 15:15:00,82.78,82.91,82.3,82.42,240800.0
2020-08-10 15:20:00,82.38,82.52,82.22,82.22,114100.0
2020-08-10 15:25:00,82.25,82.38,82.1,82.36,476500.0
2020-08-10 15:30:00,82.35,82.38,82.02,82.14,133700.0
2020-08-10 15:35:00,82.14,82.25,81.94,81.97,167700.0
2020-08-10 15:40:00,81.99,82.18,81.97,82.12,49800.0
2020-08-10 15:45:00,82.13,82.37,82.12,82.28,100300.0
2020-08-10 15:50:00,82.29,82.67,82.29,82.55,169900.0
2020-08-10 15:55:00,82.57,82.68,82.4,82.43,96500.0
2020-08-10 16:00:00,82.41,82.6,82.38,82.59,86600.0
2020-08-10 16:05:00,82.58,82.68,82.4,82.44,117500.0
2020-08-10 16:10:00,82.43,82.44,82.22,82.29,78100.0
2020-08-10 16:15:00,82.28,82.35,82.24,82.29,62200.0
2020-08-10 16:20:00,82.3,82.49,82.29,82.34,81700.0
2020-08-10 16:25:00,82.36,82.47,82.3,82.35,90100.0
2020-08-10 16:30:00,82.32,82.36,82.1,82.27,162200.0
2020-08-10 16:35:00,82.26,82.33,82.17,82.17,110700.0
2020-08-10 16:40:00,82.18,82.23,82.15,82.15,96400.0
2020-08-10 16:45:00,82.16,82.18,81.98,82.03,216900.0
2020-08-10 16:50:00,82.04,82.19,82.02,82.12,122300.0
