<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2020.08.14	06:00:00.285	80.42	81.10			6
2020.08.14	06:21:07.640	80.42	81.10			6
2020.08.14	09:37:13.130	80.42	81.10			6
2020.08.14	09:45:00.041	80.42	81.10			6
2020.08.14	09:45:00.749		70.00			4
2020.08.14	09:45:20.753	81.10				2
2020.08.14	09:45:39.329	85.00				2
2020.08.14	09:45:39.331	90.00				2
2020.08.14	09:45:47.365		50.00			4
2020.08.14	09:46:04.470	90.00				2
2020.08.14	09:46:53.788		50.00			4
2020.08.14	09:47:11.877	90.00				2
2020.08.14	09:48:01.303	90.00	50.00			6
2020.08.14	09:49:12.533	90.00	50.00			6
2020.08.14	09:49:35.732	92.52				2
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	2800.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	1600.00000000	56
2020.08.14	10:11:06.912			80.61	4000.00000000	56
2020.08.14	10:11:06.912			80.61	800.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	800.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	600.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	2000.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	600.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	3000.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	1200.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	700.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	800.00000000	56
2020.08.14	10:11:06.912			80.61	600.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	800.00000000	56
2020.08.14	10:11:06.912			80.61	600.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	200.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	300.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912			80.61	400.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	1500.00000000	56
2020.08.14	10:11:06.912			80.61	500.00000000	56
2020.08.14	10:11:06.912			80.61	1500.00000000	56
2020.08.14	10:11:06.912			80.61	100.00000000	56
2020.08.14	10:11:06.912	80.61	80.77			6
2020.08.14	10:11:06.923	80.62				2
2020.08.14	10:11:07.354			80.62	100.00000000	88
2020.08.14	10:11:07.354			80.62	400.00000000	88
2020.08.14	10:11:07.356			80.77	100.00000000	56
2020.08.14	10:11:07.423	80.70				2
2020.08.14	10:11:07.424	80.71				2
2020.08.14	10:11:07.425			80.77	100.00000000	56
2020.08.14	10:11:07.425			80.77	200.00000000	56
2020.08.14	10:11:07.425			80.79	100.00000000	56
2020.08.14	10:11:07.425		80.82			4
2020.08.14	10:11:07.480	80.72				2
2020.08.14	10:11:07.484	80.73				2
2020.08.14	10:11:07.923			80.82	100.00000000	56
2020.08.14	10:11:07.923			80.85	200.00000000	56
2020.08.14	10:11:07.923			80.86	400.00000000	56
2020.08.14	10:11:07.923			80.87	4300.00000000	56
2020.08.14	10:11:07.923		80.88			4
2020.08.14	10:11:07.924			80.88	100.00000000	56
2020.08.14	10:11:07.924			80.90	100.00000000	56
2020.08.14	10:11:07.924			80.91	100.00000000	56
2020.08.14	10:11:07.924			80.92	100.00000000	56
2020.08.14	10:11:07.924			80.92	100.00000000	56
2020.08.14	10:11:07.924			80.94	100.00000000	56
2020.08.14	10:11:07.924		80.96			4
2020.08.14	10:11:07.924		80.87			4
2020.08.14	10:11:07.924	80.74				2
2020.08.14	10:11:07.926			80.87	600.00000000	56
2020.08.14	10:11:07.926		80.88			4
2020.08.14	10:11:07.926		80.94			4
2020.08.14	10:11:07.927	80.75				2
2020.08.14	10:11:07.928	80.76				2
2020.08.14	10:11:07.941	80.77				2
2020.08.14	10:11:07.941		80.97			4
2020.08.14	10:11:07.942	80.78				2
2020.08.14	10:11:07.951	80.79				2
2020.08.14	10:11:07.952	80.80				2
2020.08.14	10:11:08.016	80.81				2
2020.08.14	10:11:08.016	80.82				2
2020.08.14	10:11:08.017			80.97	2000.00000000	56
2020.08.14	10:11:08.017			80.97	200.00000000	56
2020.08.14	10:11:08.017		80.98			4
2020.08.14	10:11:08.018			80.98	300.00000000	56
2020.08.14	10:11:08.018			81.00	500.00000000	56
2020.08.14	10:11:08.018			81.00	100.00000000	56
2020.08.14	10:11:08.018			81.00	500.00000000	56
2020.08.14	10:11:08.018			81.00	100.00000000	56
2020.08.14	10:11:08.018			81.00	100.00000000	56
2020.08.14	10:11:08.018			81.00	100.00000000	56
2020.08.14	10:11:08.018		81.06			4
2020.08.14	10:11:08.019		81.08			4
2020.08.14	10:11:08.019		81.10			4
2020.08.14	10:11:08.020	80.83				2
2020.08.14	10:11:08.020		81.06			4
2020.08.14	10:11:08.021		81.10			4
2020.08.14	10:11:08.022	80.84				2
2020.08.14	10:11:08.025	80.85				2
2020.08.14	10:11:08.026	80.86				2
2020.08.14	10:11:08.026		80.99			4
2020.08.14	10:11:08.027			80.99	300.00000000	120
2020.08.14	10:11:08.027		81.10			4
2020.08.14	10:11:08.051	80.87				2
2020.08.14	10:11:08.052	80.88				2
2020.08.14	10:11:08.073	80.89				2
2020.08.14	10:11:08.074	80.90				2
2020.08.14	10:11:08.119		81.09			4
2020.08.14	10:11:08.202	80.91				2
2020.08.14	10:11:08.203	80.92				2
2020.08.14	10:11:08.205		81.10			4
2020.08.14	10:11:08.304		81.09			4
2020.08.14	10:11:08.309	80.90				2
2020.08.14	10:11:08.962		81.01			4
2020.08.14	10:11:08.963	80.88				2
2020.08.14	10:11:08.964	80.86				2
2020.08.14	10:11:09.304			80.86	100.00000000	88
2020.08.14	10:11:09.305		81.00			4
2020.08.14	10:11:09.691		80.99			4
2020.08.14	10:11:09.692		81.00			4
2020.08.14	10:11:09.693		80.99			4
2020.08.14	10:11:09.903			80.86	100.00000000	88
2020.08.14	10:11:09.903			80.85	200.00000000	88
2020.08.14	10:11:09.903			80.85	100.00000000	88
2020.08.14	10:11:09.903			80.84	100.00000000	88
2020.08.14	10:11:09.903			80.83	100.00000000	88
2020.08.14	10:11:09.903			80.83	100.00000000	88
2020.08.14	10:11:09.903			80.82	100.00000000	88
2020.08.14	10:11:09.903			80.82	100.00000000	88
2020.08.14	10:11:09.903			80.80	100.00000000	88
2020.08.14	10:11:09.903			80.78	100.00000000	88
2020.08.14	10:11:09.903			80.77	400.00000000	88
2020.08.14	10:11:09.903	80.77				2
2020.08.14	10:11:09.905		80.98			4
2020.08.14	10:11:09.907		80.97			4
2020.08.14	10:11:10.030	80.78				2
2020.08.14	10:11:10.287		80.96			4
2020.08.14	10:11:10.288		80.97			4
2020.08.14	10:11:10.289		80.96			4
2020.08.14	10:11:10.389		80.95			4
2020.08.14	10:11:10.423		80.94			4
2020.08.14	10:11:10.424		80.93			4
2020.08.14	10:11:10.426		80.94			4
2020.08.14	10:11:10.426		80.92			4
2020.08.14	10:11:12.798			80.92	200.00000000	56
2020.08.14	10:11:12.964			80.78	100.00000000	88
2020.08.14	10:11:12.964			80.78	100.00000000	88
2020.08.14	10:11:12.964			80.78	100.00000000	88
2020.08.14	10:11:12.964			80.77	100.00000000	88
2020.08.14	10:11:12.964			80.77	200.00000000	88
2020.08.14	10:11:12.964			80.77	100.00000000	88
2020.08.14	10:11:12.964			80.76	100.00000000	88
2020.08.14	10:11:12.964			80.76	100.00000000	88
2020.08.14	10:11:12.964			80.75	100.00000000	88
2020.08.14	10:11:12.964	80.74	80.75			6
2020.08.14	10:11:12.966			80.74	100.00000000	88
2020.08.14	10:11:12.966	80.73				2
2020.08.14	10:11:12.966			80.75	700.00000000	56
2020.08.14	10:11:12.966		80.91			4
2020.08.14	10:11:12.966		80.89			4
2020.08.14	10:11:12.967		80.82			4
2020.08.14	10:11:12.967			80.73	100.00000000	88
2020.08.14	10:11:12.967	80.72				2
2020.08.14	10:11:12.967	80.74				2
2020.08.14	10:11:12.968		80.91			4
2020.08.14	10:11:12.968		80.90			4
2020.08.14	10:11:12.968		80.88			4
2020.08.14	10:11:12.969	80.72				2
2020.08.14	10:11:12.969	80.73				2
2020.08.14	10:11:13.111	80.78				2
2020.08.14	10:11:14.092			80.88	100.00000000	56
2020.08.14	10:11:14.117			80.88	400.00000000	56
2020.08.14	10:11:14.117			80.88	200.00000000	56
2020.08.14	10:11:14.117			80.89	100.00000000	56
2020.08.14	10:11:14.117			80.90	100.00000000	56
2020.08.14	10:11:14.117			80.91	100.00000000	56
2020.08.14	10:11:14.117			80.91	100.00000000	56
2020.08.14	10:11:14.117		80.92			4
2020.08.14	10:11:14.118		80.94			4
2020.08.14	10:11:14.118		80.91			4
2020.08.14	10:11:14.129		80.92			4
2020.08.14	10:11:14.243		80.91			4
2020.08.14	10:11:14.740			80.91	100.00000000	56
2020.08.14	10:11:14.740		80.92			4
2020.08.14	10:11:14.866		80.91			4
2020.08.14	10:11:16.047			80.91	100.00000000	56
2020.08.14	10:11:16.047		80.92			4
2020.08.14	10:11:16.048		80.93			4
2020.08.14	10:11:16.048	80.79				2
