ticker,day,success_oper_flag,timeout_flag,end_of_interval_flag,best_risk,best_risk_days,min_risk,min_risk_days,max_risk,max_risk_days
ABEV3,2016-01-04,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-01-05,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-01-06,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-01-07,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-01-08,1,0,0,0.0574,78,0.0558,78,0.0574,78
ABEV3,2016-01-11,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-01-12,1,0,0,0.0571,76,0.0564,76,0.0571,76
ABEV3,2016-01-13,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-01-14,1,0,0,0.0571,74,0.0564,74,0.0571,74
ABEV3,2016-01-15,1,0,0,0.0402,10,0.04,10,0.064,73
ABEV3,2016-01-18,1,0,0,0.0429,9,0.0198,7,0.0669,72
ABEV3,2016-01-19,1,0,0,0.0435,8,0.0183,6,0.0674,71
ABEV3,2016-01-20,1,0,0,0.0429,7,0.0198,5,0.0669,70
ABEV3,2016-01-21,1,0,0,0.0288,4,0.0198,4,0.0669,69
ABEV3,2016-01-22,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-01-26,1,0,0,0.0251,2,0.0087,2,0.0628,67
ABEV3,2016-01-27,1,0,0,0.0298,2,0.0007,2,0.0602,66
ABEV3,2016-01-28,1,0,0,0.0181,6,0.0176,6,0.0375,65
ABEV3,2016-01-29,1,0,0,0.0107,2,0.008,2,0.0321,64
ABEV3,2016-02-01,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-02-02,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-02-03,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-02-04,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-02-05,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-02-10,1,0,0,0.0299,34,0.0268,34,0.0326,58
ABEV3,2016-02-11,1,0,0,0.0079,2,0.0068,2,0.0388,57
ABEV3,2016-02-12,1,0,0,0.0123,4,0.0114,4,0.0321,56
ABEV3,2016-02-15,1,0,0,0.0137,6,0.0126,6,0.0137,6
ABEV3,2016-02-16,1,0,0,0.0123,2,0.0053,2,0.0321,54
ABEV3,2016-02-17,1,0,0,0.0124,4,0.0073,4,0.0124,4
ABEV3,2016-02-18,1,0,0,0.0128,3,0.002,2,0.0128,3
ABEV3,2016-02-19,1,0,0,0.0103,2,0.0079,2,0.0103,2
ABEV3,2016-02-22,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-02-23,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-02-24,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-02-25,1,0,0,0.0288,7,0.0116,4,0.0383,47
ABEV3,2016-02-26,1,0,0,0.0244,6,0.0215,6,0.0338,46
ABEV3,2016-02-29,1,0,0,0.0244,5,0.0215,5,0.0338,45
ABEV3,2016-03-01,1,0,0,0.0268,4,0.0061,2,0.0363,44
ABEV3,2016-03-02,1,0,0,0.0197,4,0.019,4,0.0197,4
ABEV3,2016-03-03,1,0,0,0.0171,2,0.0066,2,0.0263,42
ABEV3,2016-03-04,1,0,0,0.0104,2,0.0096,2,0.0104,2
ABEV3,2016-03-07,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-03-08,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-03-09,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-03-10,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-03-11,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-03-14,1,0,0,0.0266,35,0.025,35,0.0266,35
ABEV3,2016-03-15,1,0,0,0.0157,3,0.0054,2,0.0338,34
ABEV3,2016-03-16,1,0,0,0.0253,9,0.0172,7,0.028,33
ABEV3,2016-03-17,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-03-18,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-03-21,1,0,0,0.0206,23,0.0066,18,0.0254,30
ABEV3,2016-03-22,1,0,0,0.0154,5,0.0109,4,0.0154,5
ABEV3,2016-03-23,1,0,0,0.0101,2,0.0019,2,0.0165,4
ABEV3,2016-03-24,1,0,0,0.0085,2,0.0025,2,0.0119,3
ABEV3,2016-03-28,1,0,0,0.0073,2,0.0038,2,0.0073,2
ABEV3,2016-03-29,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-03-30,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-03-31,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-04-01,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-04-04,1,0,0,0.0169,14,0.0169,14,0.0216,21
ABEV3,2016-04-05,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-04-06,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-04-07,1,0,0,0.0207,18,0.0194,18,0.0207,18
ABEV3,2016-04-08,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-04-11,1,0,0,0.0372,90,0.0066,54,0.0372,90
ABEV3,2016-04-12,1,0,0,0.0118,4,0.0052,3,0.0331,89
ABEV3,2016-04-13,1,0,0,0.035,88,0.0033,50,0.035,88
ABEV3,2016-04-14,1,0,0,0.012,2,0.002,2,0.0333,87
ABEV3,2016-04-15,1,0,0,0.006,2,0.0051,2,0.0164,12
ABEV3,2016-04-18,1,0,0,0.0127,11,0.0101,10,0.0127,11
ABEV3,2016-04-19,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-04-20,1,0,0,0.0091,6,0.0082,6,0.0122,9
ABEV3,2016-04-22,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-04-25,1,0,0,0.0088,7,0.0081,7,0.0088,7
ABEV3,2016-04-26,1,0,0,0.0088,6,0.0075,6,0.0088,6
ABEV3,2016-04-27,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-04-28,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-04-29,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-02,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-03,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-04,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-05,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-06,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-09,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-10,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-11,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-12,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-13,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-16,1,0,0,0.0174,14,0.0161,14,0.0291,66
ABEV3,2016-05-17,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-18,1,0,0,0.016,7,0.0104,6,0.0312,64
ABEV3,2016-05-19,1,0,0,0.0072,2,0.0007,2,0.0348,63
ABEV3,2016-05-20,1,0,0,0.0174,10,0.0155,10,0.0291,62
ABEV3,2016-05-23,1,0,0,0.0227,34,0.0007,18,0.0348,61
ABEV3,2016-05-24,1,0,0,0.011,2,0.0065,2,0.03,60
ABEV3,2016-05-25,1,0,0,0.0113,2,0.0038,2,0.0152,8
ABEV3,2016-05-27,1,0,0,0.0055,2,0.0013,2,0.0114,7
ABEV3,2016-05-30,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-05-31,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-06-01,1,0,0,0.0103,3,0.0044,2,0.0108,4
ABEV3,2016-06-02,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-06-03,1,0,0,0.0046,2,0.0037,2,0.0046,2
ABEV3,2016-06-06,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-06-07,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-06-08,1,0,0,0.0042,2,0.0038,2,0.0042,2
ABEV3,2016-06-09,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-06-10,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-06-13,1,0,0,0.0298,47,0.0265,46,0.0298,47
ABEV3,2016-06-14,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-06-15,1,0,0,0.0291,45,0.0284,45,0.0291,45
ABEV3,2016-06-16,1,0,0,0.0149,10,0.0039,6,0.0348,44
ABEV3,2016-06-17,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-06-20,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-06-21,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-06-22,1,0,0,0.0293,40,0.0278,39,0.0293,40
ABEV3,2016-06-23,1,0,0,0.0211,12,0.0176,12,0.0331,39
ABEV3,2016-06-24,1,0,0,0.0142,2,0.0013,2,0.0392,38
ABEV3,2016-06-27,1,0,0,0.0121,2,0.0033,2,0.0355,37
ABEV3,2016-06-28,1,0,0,0.0233,36,0.0127,21,0.0233,36
ABEV3,2016-06-29,1,0,0,0.0072,5,0.007,5,0.0231,35
ABEV3,2016-06-30,1,0,0,0.0114,19,0.0108,19,0.0114,19
ABEV3,2016-07-01,1,0,0,0.0084,6,0.0063,6,0.0099,18
ABEV3,2016-07-04,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-05,1,0,0,0.0222,31,0.0203,30,0.0222,31
ABEV3,2016-07-06,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-07,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-08,1,0,0,0.0046,2,0.0044,2,0.0058,3
ABEV3,2016-07-11,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-12,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-13,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-14,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-15,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-18,1,0,0,0.0044,2,0.0019,2,0.0101,7
ABEV3,2016-07-19,1,0,0,0.0071,4,0.0056,4,0.0081,6
ABEV3,2016-07-20,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-21,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-22,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-25,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-26,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-27,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-28,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-07-29,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-01,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-02,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-03,1,0,0,0.0229,9,0.0159,8,0.0238,10
ABEV3,2016-08-04,1,0,0,0.0231,8,0.0153,7,0.024,9
ABEV3,2016-08-05,1,0,0,0.0098,2,0.0025,2,0.0235,8
ABEV3,2016-08-08,1,0,0,0.0153,53,0.0038,48,0.0153,53
ABEV3,2016-08-09,1,0,0,0.0136,5,0.013,5,0.0145,6
ABEV3,2016-08-10,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-11,1,0,0,0.0136,3,0.013,3,0.0145,4
ABEV3,2016-08-12,1,0,0,0.0098,2,0.0012,2,0.0106,3
ABEV3,2016-08-15,1,0,0,0.0071,2,0.0024,2,0.0071,2
ABEV3,2016-08-16,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-17,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-18,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-19,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-22,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-23,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-24,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-25,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-26,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-29,1,0,0,0.0125,5,0.0087,5,0.0145,7
ABEV3,2016-08-30,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-08-31,1,0,0,0.0133,4,0.0118,4,0.0135,5
ABEV3,2016-09-01,1,0,0,0.0144,2,0.0031,2,0.0165,4
ABEV3,2016-09-02,0,0,0,0.0,0,0.0,0,0.0,0
ABEV3,2016-09-05,0,0,0,0.0,0,0.0,0,0.0,0
