ticker,day,success_oper_flag,timeout_flag,end_of_interval_flag,best_risk,best_risk_days,min_risk,min_risk_days,max_risk,max_risk_days
BBAS3,2016-01-04,1,0,0,0.1595,45,0.1331,44,0.15,45
BBAS3,2016-01-05,1,0,0,0.1604,44,0.1315,43,0.15,44
BBAS3,2016-01-06,1,0,0,0.1703,43,0.1142,40,0.15,43
BBAS3,2016-01-07,1,0,0,0.1713,42,0.1125,39,0.15,42
BBAS3,2016-01-08,1,0,0,0.1679,41,0.1184,38,0.15,41
BBAS3,2016-01-11,1,0,0,0.1521,39,0.1057,37,0.15,39
BBAS3,2016-01-12,1,0,0,0.1636,38,0.0846,36,0.15,38
BBAS3,2016-01-13,1,0,0,0.1625,35,0.0605,34,0.15,35
BBAS3,2016-01-14,1,0,0,0.1748,34,0.0372,31,0.15,34
BBAS3,2016-01-15,1,0,0,0.1675,33,0.051,32,0.15,33
BBAS3,2016-01-18,1,0,0,0.1706,32,0.0451,31,0.15,32
BBAS3,2016-01-19,1,0,0,0.1625,31,0.0605,30,0.15,31
BBAS3,2016-01-20,1,0,0,0.1883,30,0.0117,3,0.15,30
BBAS3,2016-01-21,1,0,0,0.0138,2,0.0053,2,0.15,29
BBAS3,2016-01-22,1,0,0,0.0322,6,0.026,6,0.15,28
BBAS3,2016-01-26,1,0,0,0.0353,5,0.0178,4,0.15,27
BBAS3,2016-01-27,1,0,0,0.0273,3,0.0147,3,0.15,26
BBAS3,2016-01-28,1,0,0,0.0266,2,0.0126,2,0.15,25
BBAS3,2016-01-29,1,0,0,0.0288,2,0.0062,2,0.15,24
BBAS3,2016-02-01,1,0,0,0.1474,23,0.0753,22,0.15,25
BBAS3,2016-02-02,1,0,0,0.1451,22,0.0798,22,0.15,24
BBAS3,2016-02-03,1,0,0,0.1575,21,0.0559,20,0.15,21
BBAS3,2016-02-04,1,0,0,0.0136,2,0.007,2,0.15,20
BBAS3,2016-02-05,1,0,0,0.1418,19,0.0861,19,0.15,21
BBAS3,2016-02-10,1,0,0,0.1551,18,0.0606,17,0.15,18
BBAS3,2016-02-11,1,0,0,0.157,17,0.0569,16,0.15,17
BBAS3,2016-02-12,1,0,0,0.167,16,0.0377,14,0.15,16
BBAS3,2016-02-15,1,0,0,0.1635,15,0.0445,14,0.15,15
BBAS3,2016-02-16,1,0,0,0.1696,14,0.0031,2,0.15,14
BBAS3,2016-02-17,1,0,0,0.1585,13,0.0541,12,0.15,13
BBAS3,2016-02-18,1,0,0,0.161,12,0.0493,11,0.15,12
BBAS3,2016-02-19,1,0,0,0.1801,11,0.0052,2,0.15,11
BBAS3,2016-02-22,1,0,0,0.16,10,0.007,2,0.15,10
BBAS3,2016-02-23,1,0,0,0.156,9,0.0588,8,0.15,9
BBAS3,2016-02-24,1,0,0,0.1685,8,0.0347,6,0.15,8
BBAS3,2016-02-25,1,0,0,0.1748,7,0.0228,4,0.15,7
BBAS3,2016-02-26,1,0,0,0.1645,6,0.0233,3,0.15,6
BBAS3,2016-02-29,1,0,0,0.1595,5,0.012,2,0.15,5
BBAS3,2016-03-01,1,0,0,0.1479,4,0.0078,2,0.15,6
BBAS3,2016-03-02,1,0,0,0.1259,3,0.0121,2,0.15,6
BBAS3,2016-03-03,1,0,0,0.1015,2,0.0062,2,0.15,6
BBAS3,2016-03-04,0,1,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-07,1,0,0,0.0542,3,0.0403,3,0.0998,6
BBAS3,2016-03-08,1,0,0,0.0542,2,0.0168,2,0.0998,5
BBAS3,2016-03-09,1,0,0,0.0509,3,0.0146,2,0.058,4
BBAS3,2016-03-10,1,0,0,0.0408,2,0.0277,2,0.0476,3
BBAS3,2016-03-11,1,0,0,0.0339,2,0.013,2,0.0339,2
BBAS3,2016-03-14,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-15,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-16,1,0,0,0.0817,2,0.0202,2,0.1164,20
BBAS3,2016-03-17,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-18,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-21,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-22,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-23,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-24,1,0,0,0.0274,2,0.005,2,0.0781,14
BBAS3,2016-03-28,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-29,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-30,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-03-31,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-01,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-04,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-05,1,0,0,0.0586,5,0.0402,4,0.0825,7
BBAS3,2016-04-06,1,0,0,0.0524,3,0.0169,3,0.0926,6
BBAS3,2016-04-07,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-08,1,0,0,0.0396,2,0.0068,2,0.0623,4
BBAS3,2016-04-11,1,0,0,0.0283,3,0.0094,2,0.0283,3
BBAS3,2016-04-12,1,0,0,0.0216,2,0.019,2,0.0216,2
BBAS3,2016-04-13,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-14,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-15,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-18,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-19,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-20,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-22,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-25,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-26,1,0,0,0.0265,2,0.0051,2,0.0265,2
BBAS3,2016-04-27,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-28,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-04-29,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-02,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-03,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-04,1,0,0,0.0168,2,0.0026,2,0.0168,2
BBAS3,2016-05-05,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-06,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-09,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-10,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-11,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-12,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-13,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-16,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-17,0,0,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-18,0,1,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-19,1,0,0,0.129,74,0.1282,74,0.129,74
BBAS3,2016-05-20,0,1,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-05-23,1,0,0,0.0942,42,0.082,41,0.15,72
BBAS3,2016-05-24,1,0,0,0.1184,59,0.1016,58,0.1431,71
BBAS3,2016-05-25,1,0,0,0.0193,4,0.0083,3,0.15,58
BBAS3,2016-05-27,1,0,0,0.0996,39,0.0704,38,0.15,67
BBAS3,2016-05-30,1,0,0,0.0221,5,0.021,5,0.15,66
BBAS3,2016-05-31,1,0,0,0.0248,5,0.0234,5,0.15,65
BBAS3,2016-06-01,1,0,0,0.0207,3,0.0161,3,0.15,64
BBAS3,2016-06-02,1,0,0,0.1006,35,0.0681,33,0.15,63
BBAS3,2016-06-03,1,0,0,0.0106,2,0.0101,2,0.15,64
BBAS3,2016-06-06,1,0,0,0.1167,51,0.105,50,0.15,88
BBAS3,2016-06-07,1,0,0,0.0127,2,0.0055,2,0.15,62
BBAS3,2016-06-08,1,0,0,0.009,2,0.0008,2,0.15,86
BBAS3,2016-06-09,1,0,0,0.1177,48,0.103,47,0.15,85
BBAS3,2016-06-10,1,0,0,0.0956,34,0.0954,34,0.15,84
BBAS3,2016-06-13,1,0,0,0.1087,28,0.0508,24,0.15,56
BBAS3,2016-06-14,1,0,0,0.0979,27,0.074,26,0.15,56
BBAS3,2016-06-15,1,0,0,0.1083,26,0.0516,22,0.15,54
BBAS3,2016-06-16,1,0,0,0.1152,25,0.0369,18,0.15,43
BBAS3,2016-06-17,1,0,0,0.1059,24,0.0569,20,0.15,52
BBAS3,2016-06-20,1,0,0,0.1017,23,0.0659,21,0.15,51
BBAS3,2016-06-21,1,0,0,0.1163,22,0.0345,15,0.15,40
BBAS3,2016-06-22,1,0,0,0.1148,21,0.0376,14,0.15,39
BBAS3,2016-06-23,1,0,0,0.1116,20,0.0447,14,0.15,48
BBAS3,2016-06-24,1,0,0,0.0332,5,0.0142,4,0.15,36
BBAS3,2016-06-27,1,0,0,0.1137,18,0.0367,11,0.15,45
BBAS3,2016-06-28,1,0,0,0.0254,3,0.0107,2,0.15,35
BBAS3,2016-06-29,0,1,0,0.0,0,0.0,0,0.0,0
BBAS3,2016-06-30,1,0,0,0.017,2,0.0135,2,0.15,43
BBAS3,2016-07-01,1,0,0,0.0838,14,0.0358,10,0.15,69
BBAS3,2016-07-04,1,0,0,0.0835,13,0.0365,9,0.15,68
BBAS3,2016-07-05,1,0,0,0.0876,12,0.0269,6,0.15,67
BBAS3,2016-07-06,1,0,0,0.0909,11,0.0194,4,0.15,66
BBAS3,2016-07-07,1,0,0,0.0883,10,0.0146,3,0.15,65
BBAS3,2016-07-08,1,0,0,0.0192,2,0.0046,2,0.15,64
BBAS3,2016-07-11,1,0,0,0.0194,2,0.0037,2,0.15,64
BBAS3,2016-07-12,1,0,0,0.0579,7,0.0421,6,0.15,68
