ticker,rcc
ABEV3,0.0235
AZUL4,0.0392
BTOW3,0.0459
B3SA3,0.147
BBSE3,0.1135
BRML3,0.0308
BBDC3,0.0406
BBDC4,0.1318
BRAP4,0.0452
BBAS3,0.0418
BRKM5,0.1638
BRFS3,0.0232
BPAC11,0.0164
CRFB3,0.0054
CCRO3,0.0296
CMIG4,0.1614
HGTX3,0.0073
CIEL3,0.03
COGN3,0.0435
CPLE6,0.1044
CSAN3,0.1085
CPFE3,0.0463
CVCB3,0.1647
CYRE3,0.0355
ECOR3,0.0324
ELET3,0.0471
ELET6,0.046
EMBR3,0.0274
ENBR3,0.0999
ENGI11,0.0281
ENEV3,0.1184
EGIE3,0.0172
EQTL3,0.0203
EZTC3,0.0311
FLRY3,0.0358
GGBR4,0.1517
GOAU4,0.0439
GOLL4,0.0464
HYPE3,0.1276
IGTA3,0.0292
ITSA4,0.0233
ITUB4,0.0277
JBSS3,0.0366
JHSF3,0.1362
KLBN11,0.0209
RENT3,0.042
LCAM3,0.1214
LAME4,0.0323
LREN3,0.0342
MGLU3,0.0924
MRFG3,0.0875
BEEF3,0.0321
MRVE3,0.0304
MULT3,0.1006
PETR3,0.15
PETR4,0.0448
PRIO3,0.1509
QUAL3,0.0395
RADL3,0.0372
RAIL3,0.0469
SBSP3,0.0374
SANB11,0.0296
CSNA3,0.0988
SULA11,0.03
TAEE11,0.0244
VIVT3,0.0219
TIMS3,0.0272
TOTS3,0.0253
UGPA3,0.0299
USIM5,0.0601
VALE3,0.1512
VVAR3,0.0609
WEGE3,0.0231
YDUQ3,0.1638
