ticker,start_date,end_date,most_effective_risk
ABEV3,2017-11-22,2019-11-22,0.0258
ALPA4,2017-11-22,2019-11-22,0.0603
AMER3,2017-11-22,2019-11-22,0.081
B3SA3,2017-11-22,2019-11-22,0.0302
BBAS3,2017-11-22,2019-11-22,0.0297
BBDC3,2017-11-22,2019-11-22,0.044
BBDC4,2017-11-22,2019-11-22,0.0371
BBSE3,2017-11-22,2019-11-22,0.0322
BEEF3,2017-11-22,2019-11-22,0.05
BPAN4,2017-11-22,2019-11-22,0.0667
BRAP4,2017-11-22,2019-11-22,0.046
BRFS3,2017-11-22,2019-11-22,0.0218
BRKM5,2017-11-22,2019-11-22,0.0475
BRML3,2017-11-22,2019-11-22,0.0376
CCRO3,2017-11-22,2019-11-22,0.044
