ticker,day,uptrend,downtrend,crisis,min_risk,max_risk
ABEV3,2019-01-02,False,True,False,0.0151,0.0147
ABEV3,2019-01-03,False,False,False,0.0145,0.0147
ABEV3,2019-01-04,False,False,False,0.014,0.0147
ABEV3,2019-01-07,False,False,False,0.0135,0.0147
ABEV3,2019-01-08,False,False,False,0.0131,0.0147
ABEV3,2019-01-09,False,False,False,0.0128,0.0147
ABEV3,2019-01-10,False,False,False,0.0125,0.0151
ABEV3,2019-01-11,False,False,False,0.0122,0.0153
ABEV3,2019-01-14,True,False,False,0.012,0.0154
ABEV3,2019-01-15,True,False,False,0.0117,0.0154
ABEV3,2019-01-16,True,False,False,0.0115,0.0153
ABEV3,2019-01-17,True,False,False,0.0113,0.0153
ABEV3,2019-01-18,True,False,False,0.0111,0.0153
ABEV3,2019-01-21,True,False,False,0.0108,0.0153
ABEV3,2019-01-22,True,False,False,0.0106,0.0153
ABEV3,2019-01-23,True,False,False,0.0104,0.0153
ABEV3,2019-01-24,True,False,False,0.0141,0.0158
ABEV3,2019-01-28,True,False,False,0.0164,0.016
ABEV3,2019-01-29,True,False,False,0.0158,0.0177
ABEV3,2019-01-30,True,False,False,0.0152,0.0186
ABEV3,2019-01-31,True,False,False,0.0147,0.0191
ABEV3,2019-02-01,True,False,False,0.0141,0.0193
ABEV3,2019-02-04,True,False,False,0.0135,0.0194
ABEV3,2019-02-05,True,False,False,0.013,0.0194
ABEV3,2019-02-06,True,False,False,0.0125,0.0194
ABEV3,2019-02-07,True,False,False,0.012,0.0194
ABEV3,2019-02-08,True,False,False,0.0116,0.0195
ABEV3,2019-02-11,True,False,False,0.0113,0.0196
ABEV3,2019-02-12,True,False,False,0.0109,0.0207
ABEV3,2019-02-13,True,False,False,0.0107,0.0213
ABEV3,2019-02-14,True,False,False,0.0104,0.0216
ABEV3,2019-02-15,True,False,False,0.0102,0.0217
ABEV3,2019-02-18,True,False,False,0.0099,0.0211
ABEV3,2019-02-19,True,False,False,0.0105,0.0208
ABEV3,2019-02-20,True,False,False,0.011,0.0207
ABEV3,2019-02-21,True,False,False,0.0109,0.0206
ABEV3,2019-02-22,True,False,False,0.0108,0.0206
ABEV3,2019-02-25,False,False,False,0.0106,0.0193
ABEV3,2019-02-26,False,False,False,0.0104,0.0187
ABEV3,2019-02-27,False,False,False,0.0102,0.0184
ABEV3,2019-02-28,False,False,False,0.0101,0.0182
ABEV3,2019-03-01,False,True,False,0.0225,0.0182
ABEV3,2019-03-06,False,True,True,0.0324,0.0173
ABEV3,2019-03-07,False,True,True,0.0338,0.0168
ABEV3,2019-03-08,False,True,True,0.0331,0.0166
ABEV3,2019-03-11,False,True,True,0.032,0.0165
ABEV3,2019-03-12,False,True,True,0.0301,0.0165
ABEV3,2019-03-13,False,True,True,0.0281,0.0164
ABEV3,2019-03-14,False,True,True,0.0264,0.0164
ABEV3,2019-03-15,False,True,True,0.0252,0.0165
ABEV3,2019-03-18,False,True,True,0.0241,0.0166
ABEV3,2019-03-19,False,True,False,0.0228,0.0166
